"file","lhs","op","rhs","beta","beta.std","se","z","pval","level"
"sub84","X2","~","X1",0.36984209482504,0.369909863160864,0.0486904844598639,7.59716949347226,3.01980662698043e-14,"group"
"sub84","X6","~","X5",0.374335474706989,0.378269745308206,0.0496539100231413,7.61812604751394,2.57571741713036e-14,"group"
"sub84","X8","~","X7lag",0.32071430210256,0.320373607595519,0.0554767187553122,5.77491990844973,7.69896968400019e-09,"group"
"sub84","X5","~","X4",0.264419265052585,0.266703928601388,0.0474511878589139,5.62059540836735,1.90300462055149e-08,"group"
"sub84","X7","~","X6lag",0.193138811330036,0.194988492177656,0.0538606853984982,3.62023785503282,0.000294332320250001,"group"
"sub84","X3","~","X2lag",0.221502137545676,0.220900921166701,0.0551187135439758,4.007729987937,6.1305151469071e-05,"group"
"sub84","X4","~","X3lag",0.289598554202393,0.288663829547196,0.0545984558569447,5.28703284766026,1.24316323235618e-07,"group"
"sub84","X3","~","X1lag",0.213131891234877,0.21186306842312,0.055116482924413,3.84391487231996,0.000121087023683408,"ind"
"sub84","X2","~","X1lag",0.217456726388453,0.216424887191298,0.0566844660093807,3.81806343832333,0.000134503343118375,"ind"
"sub85","X1","~","X1lag",0.184778289418704,0.184984938169162,0.0558525203194046,3.31202490256995,0.000926233006791399,"group"
"sub85","X2","~","X2lag",0.209095002000114,0.207925692672133,0.0531755806508005,3.91017249134643,9.22302352563964e-05,"group"
"sub85","X3","~","X3lag",0.211697446571072,0.211143045591107,0.0530443242731677,3.98050212693373,6.87698494437061e-05,"group"
"sub85","X4","~","X4lag",0.147510736079551,0.14823992608243,0.0544982233144532,2.72008731783952,0.00652646798083456,"group"
"sub85","X5","~","X5lag",0.288514812703564,0.287754577175255,0.0495271384568741,5.81003841814561,6.24585072550587e-09,"group"
"sub85","X6","~","X6lag",0.278057386054278,0.278539787566006,0.0453206029668847,6.14598591659366,7.94683430171972e-10,"group"
"sub85","X7","~","X7lag",0.150429446787638,0.150127935560047,0.0524450916301313,2.86257361544573,0.00420215631496612,"group"
"sub85","X8","~","X8lag",0.120635727385281,0.121043221184837,0.0555755292643985,2.177994933867,0.029406413926085,"group"
"sub85","X8","~","X7",0.479707234988469,0.480958304450074,0.0443029601912366,10.8561211795778,0,"group"
"sub85","X7","~","X6",0.399837024015227,0.399436698961846,0.0456857473218584,8.74313593138346,0,"group"
"sub85","X3","~","X2",0.286184984089328,0.287036330614842,0.0501661108294691,5.72171782641416,1.05452344634216e-08,"group"
"sub85","X4","~","X3",0.321008662534931,0.323061468718579,0.0504259337304064,6.40665318059893,1.48748569017698e-10,"group"
"sub85","X5","~","X4lag",0.254264548290137,0.253654384530107,0.0515463763113226,4.92089653398952,8.61486670000744e-07,"group"
"sub85","X2","~","X1",0.258655778641112,0.257336479517256,0.052533302895347,4.89853988487842,9.65514417083924e-07,"group"
